,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Indonesia,NA,NA,NA,NA,NA,NA,25.59322,25.21757,38.72567,78.53058,83.67485,89.9855,91.13058,103.80578,93.44923,151.33623,169.1254,80.99866,127.87369,69.1629980822,67.2392085246,67.1546845205,77.3975920548,60.4756409589,61.8679421858,62.136465989,30.7142983342,43.890879317,52.2090410976,69.1265627129,77,70,76,NA,NA
Iran,NA,NA,NA,NA,NA,NA,16.8876,18.04912,19.015,23.99937,27,37.31089,51.97066,48.99525,63.31741,65.00293023,63.26175,43.79353,66.4377,100.0351242,105.4757,103.111279589,108.737476712,118.02130478,121.15611968,118.54388232,181.48367417,234.56951901,296.97066411,328.18820707,352,358,306,NA,NA
Iraq,NA,NA,NA,NA,NA,NA,36.73686,43.45288,36.46394,43.03696,30.8652,11.79042,26.33233,52.75146,52.79768,33.97811,65.24616,78.92545,47.40982,51.0168160274,51.5383927596,54.1658429863,57.0401335562,52.3290074027,32.6883942623,65.0263765151,61.817217874,32.2587594523,33.6202823291,35.7269857753,42,43,48,NA,NA
Ireland,0.931693989,0.225865209,0.423497268,0.705828779,0.508196721,0.512328767,0.8273972603,0.695890411,1.0491803279,0.9835616438,0.9260273973,0.9205479452,1.1393442623,0.8904109589,0.9863013699,1.1424657534,1.2349726776,1.4246575343,1.4246575343,1.202739726,1.4863387978,1.901369863,1.9369863014,1.8383561644,1.6775956284,1.8410958904,1.6246575343,1.0794520548,1.0464480874,1.0794520548,1.8,2.1,2.3,2,NA
Israel,5.609980183,5.760583678,5.986488921,6.965411637,6.852459016,6.235616438,6.3287671233,7.197260274,6.8825136612,6.7753424658,7.2575342466,6.904109589,9.2486338798,12.2739726027,13.7753424658,14.701369863,14.1229508197,15.7287671233,15.9479452055,14.9589041096,14.8551912568,16.7178082192,15.4383561644,15.1534246575,16.9262295082,15.5315068493,15.0219178082,16.2739726027,17.2131147541,16.5561643836,18,22,21,22,NA
Italy,59.45385685,56.13067183,59.2201954,59.35000731,58.1557377,54.69589041,58.2876712329,57.8767123288,62.1803278689,67.501369863,77.3534246575,73.0657534247,81.8661202186,69.9780821918,72.9369863014,68.6465753425,67.8579234973,72.1123287671,72.6219178082,70.9698630137,77.0491803279,77.2246575342,77.1315068493,75.4109589041,78.762295082,77.9917808219,73.4767123288,72.9726027397,71.5655737705,67.0821917808,69,68,65,59,NA
Jamaica,NA,NA,NA,NA,NA,NA,1.11374,1.25184,0.18175,0.28709,0.48419,0.34471,0.50778,1.61164,0.34104,0.19061,0.29693,0.3264,0.35013,0.079283337,0.3398272459,0.3415473479,0.4761801973,0.2463492932,0.2411501119,0.2384117918,0.3139960603,0.2542465754,0.381369863,0.3496065534,0.3,0.4,0.3,NA,NA
Japan,169.648392074,170.118740271,163.933073085,172.784199685,166.623815585,140.676581585,124.597126712,125.358770548,130.055506831,138.068359589,141.391780822,145.391780822,149.721311475,146.224657534,145.712328767,156.394520548,154.729508197,162.049315068,151.783561644,154.868493151,156.37704918,164.246575342,146.824657534,145.493150685,139.005464481,154.419178082,152.542465753,151.276712329,146.587431694,146.479452055,143,134,132,144,NA
Jordan,NA,NA,NA,NA,NA,NA,2.83746,2.95449,2.96453,3.1692,3.32291,3.09424,3.9633,4.11816,4.15271,4.47663,4.30793,4.3511,4.32617,4.2318543233,4.7043131694,4.4929580603,4.4309281315,4.1776716055,3.6628606995,3.8736144548,4.0943910411,3.4005479454,4.2459178085,3.4707624932,2.8,2.8,3.3,NA,NA
Kazakhstan,-,-,-,-,-,-,-,-,-,-,-,-,13.16333,13.14115,17.25384,19.43711,21.26532,2.16653,2.15797,1.2466009699,1.2882363989,21.5678773151,50.7553138356,49.7447901534,63.4992841913,58.2175336,65.6449259178,64.724777263,68.8186430166,85.863772137,65,62,65,NA,NA
Kenya,NA,NA,NA,NA,NA,NA,0.8791,0.88458,0.93286,0.94246,0.97334,0.90334,0.98029,0.9417,1.01303,1.0702,0.89751,0.80835,0.97171,0.9701988274,1.1346452077,0.938143337,0.8076922301,1.4131685315,0.9036783716,0.8724647781,0.9991787671,1.0487671234,1.0487671234,0.9651236088,1,0.9,0.6,NA,NA
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
"Korea, North",NA,NA,NA,NA,NA,NA,0.07788,0.07788,0.07,0.0686,0.08138,0.08665,0.06706,0.06309,0.06209,0.05604,0.03099,0.03096,0.06132,0.0637707288,0.0778626831,0.016240537,0.0162732548,0.0158644164,0.0160015027,0.0135176329,0.0103674411,,,0.0097848493,0.0150252986,0.0149639671,0.0149639671,NA,NA
"Korea, South",10.45736674,11.09704609,13.51670275,16.6594752,17.68852459,20.33972603,26.6301369863,30.0301369863,32.0710382514,30.1643835616,32.8602739726,34.5780821918,40.0628415301,39.6,40.295890411,43.9506849315,43.0382513661,57.1178082192,75.4164383562,82.7534246575,93.2076502732,107.8,111.139726027,104.690410959,115.581233661,112.675298767,105.193884932,105.592612192,110.509280492,109.826133288,103,79,74,80,NA
Kosovo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,NA,NA
Kuwait,NA,NA,NA,NA,NA,NA,NA,81.29885,81.70112,96.05171,47.97613,0.53844,34.854405397,79.731720654,91.981947727,97.135071541,98.423083028,102.847633361,96.918163361,100.168833406,93.404973233,94.585093301,88.328745544,98.324907976,106.627943166,101.890855241,112.423248981,104.377180274,150.610854384,159.190673512,206,216,230,NA,NA
Kyrgyzstan,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,0.00308,0.00428,0.0051269918,0.0039357596,0.0038226521,0.003179726,0.0025377589,0.0024603661,0.0027185315,0.0034827397,,,0.0008687671,0.0027020767,0.0024997479,0.0022431836,NA,NA
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Latvia,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,NA,NA
Lebanon,NA,NA,NA,NA,NA,NA,0.58781,0.4356,0.66654,0.66954,0.441,0.13978,0.07535,0.10516,,,,,,,,,,,,,,,,,,,,NA,NA
Lesotho,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Liberia,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Libya,NA,NA,NA,NA,NA,NA,11.29891,13.52106,14.02797,12.46719,13.3257,14.84036,15.43417,16.98449,18.84781,19.858223483,19.80936,20.6632,24.04246,22.8609789534,27.1658411475,27.0994970137,27.6732547726,30.8300056055,25.4433910929,25.435556811,18.90050793,23.9369535624,21.1957583568,21.9109276548,20,11,14,NA,NA
Lithuania,-,-,-,-,-,-,-,-,-,-,-,-,4.00265,5.23381,4.98273,5.37122,7.53671,8.29448,6.95864,5.5019616603,4.8981818853,6.5645581425,14.6525428767,14.0316407068,16.889822623,16.954502811,13.1354107288,9.0575342472,14.8098630147,11.5004003288,12,11,9.8,NA,NA
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Macedonia,-,-,-,-,-,-,-,-,-,-,-,-,0.69797,0.5993,0.06888,0.0355,0.24354,0.10601,0.31203,0.2403992548,0.2802383989,0.3713114027,0.301559611,0.6899905753,0.6598834426,0.7923403288,0.9509687726,0.794520548,0.9216438357,0.9175695123,0.8,0.7,0.3,NA,NA
Madagascar,NA,NA,NA,NA,NA,NA,0.06925,0.05828,0.07292,0.03706,0.07873,0.08875,0.03691,0.03722,0.03727,0.03746,0.03742,0.03758,0.0694,0.0694058959,0.1993681694,0.2003918411,0.2004030795,0.2004899562,0.2000043661,0.1379505425,,,,,,,,NA,NA
Malawi,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Malaysia,NA,NA,NA,NA,NA,NA,3.86538,8.91336,2.51555,3.24883,5.60013,5.23012,18.28321,25.84655,33.22486,61.31862,43.84582,46.59163,54.31259,57.7465725041,64.4919445683,61.1538583014,66.9690911291,48.9472832822,50.1788067588,90.9160787836,75.93758354,90.7478971258,85.3036423312,61.4517002704,94,91,82,NA,NA
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Mali,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Malta,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Martinique,NA,NA,NA,NA,NA,NA,0.45785,0.48969,0.48849,0.52469,0.49356,0.55604,0.55587,0.59247,0.65635,0.65679,0.68688,0.68882,0.68888,0.6888839233,0.7189684098,0.7209895836,0.7848477205,0.8495668,0.8794846503,0.9467326795,0.8819810356,0.8898630138,0.9260931507,0.6473049201,0.6,0.6,0.6,NA,NA
Mauritania,NA,NA,NA,NA,NA,NA,,0.0261,0.21103,0.03873,0.12358,0.13331,1.23051,1.17109,1.23444,1.20304,1.23172,1.23527,1.23535,1.2353538356,1.2957448361,,,,,,,,,,,,,NA,NA
Mauritius,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Mexico,155.09030105,202.23020781,243.68149055,255.20102762,256.93205785,286.86996305,334.082369863,336.491964932,359.83091623,371.935093425,350.325030822,357.252950959,351.952664918,336.219524247,377.708087123,341.009521644,364.352886721,290.673485753,286.749029178,343.738289041,350.845194754,349.000655342,330.807555342,341.910683288,355.781379836,340.003553288,336.294020548,317.338736575,299.753307322,301.70696863,303,300,285,281,NA
Moldova,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,0.0005517918,0.0005552438,0.0005041534,0.0004769205,NA,NA
Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,NA,NA
Montenegro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,NA,NA
Montserrat,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Morocco,NA,NA,NA,NA,NA,NA,6.62314,7.40111,8.39374,8.64291,7.56146,7.30233,7.5862,9.30778,8.50541,7.60493,7.4533,7.75708,8.16146,8.6812836055,7.7619078634,7.626564411,8.3412790959,2.2510813918,3.4635574863,6.6662318082,6.2733019726,5.4027397264,5.4027397264,3.3620238137,1.1,1.5,3.9,NA,NA
Mozambique,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Namibia,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Nauru,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Nepal,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Netherlands,47,43,57,62,81,61,69,75,73,83,75,71,77,78,89,37,36,37,34,33,34,31,27,29,38,38,35,42,42,44,45,49,49,48,NA
Netherlands Antilles,NA,NA,NA,NA,NA,NA,2.66534,2.46284,2.49,2.65683,3.279,2.81578,1.90385,2.19244,2.28535,2.29783,2.3554,2.35219,2.53697,3.4100362521,4.132381776,4.1088941206,4.1086709808,4.286405989,4.0689394426,4.2529178575,3.2055230247,2.6378082194,2.4789041098,2.1824578027,0.9,1.8,2.2,NA,NA
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
New Zealand,0.424940371,0.667760713,0.789193155,0.910606508,1.426613256,2.580033743,3.27817,3.12638,3.36923,3.36923,3.09604,3.94593,4.31018,4.46193,4.43159,4.06736,4.82618,5.49394,5.43325,5.79748,5.91891,6.64739,6.25279,4.73512,5.069,4.73512,4.09771,3.03532,2.24615,2.15509,4.5,4.5,5,5.4,NA
Nicaragua,NA,NA,NA,NA,NA,NA,0.49021,0.55364,0.61591,0.58542,0.55313,0.52975,0.65223,0.53824,0.42838,0.30449,0.49714,0.43113,0.37317,0.4678034795,0.6173207596,0.6192836712,0.563178126,0.6582822849,0.5305807924,0.5311375178,0.6675056493,0.5084931507,0.2860273973,0.4036237644,0.5,0.6,0.3,NA,NA
Niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA,NA
Nigeria,NA,NA,NA,NA,NA,NA,2.38164,4.69815,4.292,3.49717,6.37075,5.48995,8.25352,2.26083,5.42184,4.98834,6.91497,4.173,23.97634254,38.0604327552,36.2336981141,34.8041629615,33.7123213948,47.0190369634,41.8511841961,48.453426973,48.18079672,48.0700184219,50.9685755548,58.6663171367,61,57,59,NA,NA
Niue,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Northern Mariana Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Norway,23.506078134,23.82035807,24.791980805,25.293711382,28.264514652,26.34212378,20.4049072603,28.1085135616,32.4051516393,30.5004212329,37.9072991781,36.5516420548,34.3984672131,37.7764745205,39.5759543836,38.35018,41.1615297268,42.4850347945,39.9952194521,33.8455373973,33.7573529508,45.572729863,172.972801233,189.36026137,195.113145355,203.494720822,254.196179589,251.399604247,212.357547104,221.11322589,201,214,226,227,NA
Oman,NA,NA,NA,NA,NA,NA,0.9771,0.85505,0.91311,0.92256,1.14049,1.47033,7.20577,6.04984,7.14455,11.20342,2.14178,1.93565,2.1668,2.2392609589,3.4479034863,6.8282340329,6.0090565753,7.5139965753,7.6125632787,9.0370824658,11.6425654795,13.014193288,10.2210073974,19.09461,16,19,18,NA,NA
Pakistan,NA,NA,NA,NA,NA,NA,2.5552,3.33506,3.48897,3.02196,6.83444,5.84253,4.13027,3.51249,2.62371,3.983,4.61606,8.61398,5.91564,6.4790587123,9.8461785191,10.896153211,11.1269803233,11.9315637041,12.8412863115,17.0768150685,24.9155183562,17.3260967128,15.2356689045,14.8369428164,13,12,13,NA,NA
Palestinian Territories,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,NA,NA
Panama,NA,NA,NA,NA,NA,NA,0.15407,0.40524,0.30355,0.19769,0.27336,0.27671,0.37215,0.29988,0.22446,0.12829,0.65302,0.53964,0.89178,1.0196886521,1.0123273552,1.1198832329,1.2978718849,,,,4.16547945205E-05,,,,,,,NA,NA
Papua New Guinea,,,,,,,,,,,,,,,,0.00146,0.00146,0.00152,0.0014,0.0014059068,0.0014306011,0.0014345205,,,0.0013449945,0.0014059068,0.7253496004,0.0953424658,0.2224657534,0.309356537,0.3,0.3,0.3,NA,NA
Paraguay,NA,NA,NA,NA,NA,NA,0.11547,0.25925,0.27053,0.20758,0.19669,0.14676,0.08672,0.07187,0.13568,0.01717,0.02078,0.03704,0.00355,0.0031688712,0.003102071,0.0350054247,0.0025926849,0.0022278411,0.0017982816,0.0019821699,,,,,,,,NA,NA
Peru,NA,NA,NA,0.030105166,NA,NA,4.73986,4.8862,5.03796,4.85721,4.26422,4.3158,4.75552,4.84838,4.61238,3.86652,5.98849,7.02095,8.84817,8.2607474082,8.7763748415,8.1795503178,8.143780137,8.0818993151,12.462389071,22.5913649315,42.2714086301,23.8418835621,27.0458201374,39.105170411,44,43,46,NA,NA
Philippines,NA,NA,NA,NA,NA,NA,5.34291,6.54756,6.75575,6.52938,7.69995,7.88045,8.27732,7.4658,9.07114,9.58477,13.56474,14.99841,13.86009,16.0899508329,13.3022612678,13.3065439836,14.1166309151,12.9633268932,8.6584236339,10.7880350795,10.9415811616,7.9134192,9.7,9.1646412164,12,12,11,NA,NA
Poland,6.654264137,6.266347394,6.117148646,5.87843065,5.31147541,5.326027397,5.7205479452,8.7780821918,8,8.7780821918,4.5698630137,4.6283930137,4.9800996721,5.426540274,6.3179469863,6.1163817808,5.2213114754,5.7205479452,7.0876712329,9.1534246575,9.2158469945,8.0767123288,8.0383561644,8.4904109589,8.2049180328,8.9369863014,8.9917808219,8.2,9.7021857924,9.3424657534,13,14,17,17,NA
Portugal,7.01159728,8.605142116,7.764909384,8.750009828,8.054644809,7.816438356,9.0575342466,8.101369863,9.412568306,11.4712328767,11.5068493151,10.0402389041,11.6010928962,11.0931506849,15.9260273973,13.2876712329,12.1038251366,12.1397260274,13.0328767123,10.8082191781,8.7459016393,12.1068493151,10.6429786301,12.327910137,11.5054644809,12.2046224658,12.6465753425,12.0558158904,12.5518865027,9.8575342466,11,8.8,7,6.7,NA
Puerto Rico,NA,NA,NA,NA,NA,NA,1.89589,1.97808,1.28961,1.13698,2.57534,4.23835,2.08196,2.39452,1.66027,0.31967,,,,0.2739726027,0.2568306011,0.2575342466,1.009980274,,,,0.2219178082,0.23288,0.04,,,,,NA,NA
Qatar,NA,NA,NA,NA,NA,NA,31.971343642,32.028862429,29.40208455,33.882717888,38.078931223,38.139102132,52.357737299,52.728572465,50.724792178,47.944668679,54.73373251,63.902652555,65.988438054,68.795318099,65.663803436,75.102476615,68.862004846,87.011262199,92.176307038,105.537855856,120.965286123,146.853042862,202.397941221,226.267758063,305,353,357,NA,NA
Reunion,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Romania,NA,NA,NA,NA,NA,NA,9.4,8.9952,8.89985,13.73933,7.74518,7.54459,7.59581,8.17591,8.63063,9.30159,8.72891,8.04769,10.01786,8.6009857589,10.8101166339,10.7140947233,10.9326027397,10.3923287671,11.6,20.9117808219,21.5156164384,23.9627232,18.878,23.8356164384,18,18,17,NA,NA
Russia,-,-,-,-,-,-,-,-,-,-,-,-,244.79743003,200.55082003,160.65676003,180.09878003,162.51571003,171.83713003,157.34716003,193.76775553,237.25742379,198.93339328,247.1260019,277.77119077,283.22929804,305.5004015,335.71947779,345.01236482,363.00054005,413.75469537,440,457,494,NA,NA
Rwanda,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Saint Helena,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Saint Kitts and Nevis,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Saint Lucia,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Saint Pierre and Miquelon,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Saint Vincent/Grenadines,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Sao Tome and Principe,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Saudi Arabia,307.524371153,372.8513906,360.27579805,281.90392646,301.14444788,270.74071311,266.07297939,282.86525,304.01118,312.86376,583.56606,640.14281,689.92401,721.43523,733.81317,774.19186,808.93174,815.02635,803.68131845,788.595715332,816.870854574,817.79957268,849.031847123,877.095939178,974.621677377,1020.02352247,1006.08249384,980.053596167,987.59131055,1052.53973918,1180,1239,1329,NA,NA
Senegal,NA,NA,NA,NA,NA,NA,0.11526,0.13369,0.23214,0.17174,0.20261,0.16716,0.16301,0.11766,0.12077,0.12036,0.12004,0.3394,0.18229,0.2777457863,0.3105035082,0.2462206082,0.3114630192,0.4131065589,0.3490256339,0.3459436932,0.0101619288,0.0635616438,,0.1465856658,0.1,0.083085737,0.0535808548,NA,NA
Serbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.3835616438,3.1145184,4.363166,4.6508918685,4.3,3.6,3.7,NA,NA
Seychelles,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Sierra Leone,NA,NA,NA,NA,NA,NA,0.00669,0.00705,0.00768,0.0079,0.00793,0.00822,0.0055,0.00571,1.40402,0.00596,0.00594,0.00607,0.00611,0.0061105205,0.006321,,0.0064855288,0.0066087288,0.0062541366,0.0083084822,0.0060969425,,,,,,,NA,NA
Singapore,NA,NA,NA,NA,NA,NA,11.745,11.72569,15,15.0836,23.21153,16.52389,16.74047,18.83778,19.3272,19.90824,20.56806,32.12753,32.04746,32.1546939507,29.0258442404,28.3280075836,27.0926340164,28.6676605315,28.7946844372,28.3652647342,21.5030958959,21.070684933,19.3227397274,20.8166802247,6.8,8.7,12,NA,NA
Slovakia,-,-,-,-,-,-,-,-,-,-,-,-,-,1.8338724658,1.7645223288,2.162639589,1.7014111475,1.7416087671,1.0484580822,0.695890411,,6.2383561644,4.7287671233,5.1123287671,6.8907103825,5.901369863,4.9890410959,3.5671232877,3.2240437159,2.5917808219,2.6,3.2,2.8,3.3,NA
Slovenia,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,NA
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Somalia,NA,NA,NA,NA,NA,NA,0.0107,0.00654,0.00659,0.00669,0.00646,0.01319,0.00316,0.00319,0.00319,0.00319,0.00319,0.00319,0.00319,0.003192,,,,,,,1.000948214,0.9852054795,0.9852054795,,,,,NA,NA
South Africa,NA,NA,NA,NA,NA,NA,4.36169,4.32319,4.4816,4.85588,4.88152,4.76343,7.05673,7.85094,8.02311,11.27444,11.08075,11.93052,12.34071,12.5770380438,10.5057299399,11.0468590575,10.8686598082,10.6413530356,10.6242481294,10.4479946521,11.235341337,9.3117808226,8.9939726034,9.5026666082,9,11,10,NA,NA
Spain,35.106269832,34.169548553,31.124709216,39.279403291,45.363801402,51.715455009,58.4583530137,56.7078256164,61.59087,64.0235847945,66.7808949315,66.6704532877,65.8510912568,51.0356164384,54.3780821918,57.6191780822,47.762295082,51.9287671233,49.5780821918,50.4082191781,48.1448087432,50.0191780822,49.6109589041,44.7810712329,45.6750324044,45.4032127397,48.3698630137,45.6356164384,47.0300546448,44.3945205479,46,46,54,54,NA
Sri Lanka,NA,NA,NA,NA,NA,NA,0.55547,0.61835,0.68259,0.5193,0.64285,0.39394,0.49733,0.59164,0.53174,0.49616,0.62767,0.49558,2.03168,1.7688223343,0.5697465956,0.5328091781,0.6346712329,0.5315690849,0.5339395137,0.5686359616,0.537982274,0.5084931507,0.5084931507,0.8165172548,0.8,0.8,0.6,NA,NA
Sudan and South Sudan,NA,NA,NA,NA,NA,NA,0.23796,0.15066,0.2968,0.27297,0.25971,0.50685,0.21797,0.21881,0.19586,0.25101,0.2509,0.25141,0.25161,0.015704011,5.1945168306,6.9203775178,7.743284789,9.1267101863,9.6187478743,9.9377420658,13.4688744274,13.6657534256,9.7567123294,10.3423205151,13,9.6,9.8,NA,NA
Suriname,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,0.0072677596,0.009059726,0.009059726,0.0096766466,0.0096471475,0.0099956164,0.0103694356,,,0.0103694356,0.0215084186,0.0215084186,0.0215084186,NA,NA
Swaziland,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Sweden,3.490704277,2.596391611,2.538694019,3.548401868,5.163934426,5.846575342,7.4684931507,6.7068493151,5.4180327869,5.1178082192,6.9589041096,8.0767123288,9.2568306011,9.8517628767,8.6767123288,7.3397260274,8.2759562842,8.6366121918,9.2794520548,8.5424657534,9.8907103825,8.8657534247,8.7095890411,11.4402389041,13.4699453552,13.7616438356,9.597260274,8.3890410959,10.6475409836,8.8684931507,11,8.6,12,9.8,NA
Switzerland,3.071716847,2.922604379,3.697989214,4.622486517,4.56284153,7.471232877,8.994520548,5.4054794521,5.3907103825,4.3232876712,4.4164383562,6.2301369863,5.3907103825,6.0410958904,5.9726027397,5.4,6.5573770492,6.9917808219,7.9780821918,7.0547945206,6.0546448087,5.8438356164,6.6767123288,5.6246575343,6.1475409836,6.2630136986,7.0904109589,6.4520547945,7.5792349727,6.5123287671,5.4,5.9,3.7,6,NA
Syria,NA,NA,NA,NA,NA,NA,5.85005,5.12188,4.58417,5.11031,4.84959,4.78,5.48403,6.45522,5.73126,4.74422,18.13011,18.35219,18.26103,22.4055494356,19.7315053115,17.5693654521,16.8140443123,17.4823709096,18.4452640383,20.7599288822,20.5152004822,14.1878684934,14.1878684934,13.9305503452,14,14,10,NA,NA
Taiwan,NA,NA,NA,NA,NA,NA,16.3354,17.04037,14.01872,14.07664,14.23515,15.72857,16.21713,18.6,20.66069,23.63845,25.15113,27.0185,26.70897,26.1798171793,31.3213733375,34.976048936,37.6103213578,41.541018351,45.3182802351,47,43.7939726027,51.3578082227,40.2663013726,49.476471095,41,39,46,NA,NA
Tajikistan,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,0.00081,0.00037,0.0003783452,0.0003773115,0.0003783452,0.0003468164,0.0003468164,0.0003458689,0.0003468164,0.0003783452,,,0.0005990466,0.0005990466,0.0005990466,0.0006621041,NA,NA
Tanzania,NA,NA,NA,NA,NA,NA,0.02086,0.18498,0.21725,0.14994,0.07905,0.10456,0.21487,0.20709,0.20718,0.20727,0.20673,0.20748,0.20753,0.2080964055,,,,,,,,,,,,,,NA,NA
Thailand,NA,NA,NA,NA,NA,NA,18.37092,16.93544,19.18083,15.35812,23.94066,32.01342,36.19426,40.3437,52.63232139,60.66508,89.2499,87.64273344,86.88222258,95.6607307,114.717753743,128.6422612,129.001267152,131.4642759,138.44804493,152.12706375,170.514986367,176.600760825,183.776506991,182.99476339,192,243,264,NA,NA
Timor-Leste (East Timor),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,NA,NA
Togo,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Tonga,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Trinidad and Tobago,NA,NA,NA,NA,NA,NA,2.16797,1.62399,1.30881,2.18007,2.22387,5.34849,10.56006,7.86963,8.29291,8.96239,9.85488,9.09401,10.48511,14.4956848603,16.3756830765,16.2201290356,18.7521171288,21.8649076986,20.2295462678,18.8267658137,44.7654985918,23.5701095893,27.5199576715,30.583373474,31,28,21,NA,NA
Tunisia,NA,NA,NA,NA,NA,NA,1.18085,1.57889,3.70576,3.20359,3.20623,7.36223,8.03582,7.08473,6.90882,6.63026,7.00178,6.3248,7.83137,2.6137207233,2.3501579235,4.3133010521,4.4409494301,4.0246134027,7.0160838579,3.385859863,3.3820191452,3.3044028768,4.0122135618,4.2294353973,9.2,4.1,5,NA,NA
Turkey,12.61858425,10.34549055,11.9191708,13.4345666,15.88251366,14.83835616,17.2904109589,19.2,22.3415300546,21.8,22.2520547945,21.4520547945,21.4590163934,22.5671232877,23.0739726027,24.6301369863,25.3579234973,24.6931506849,25.3890410959,23.4219178082,22.3442622951,23.0767123288,23.5479452055,24.0575342466,24.150273224,24.3479452055,25.6794520548,24.2164383562,25.1338797814,19.1945205479,21,23,25,23,NA
Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,15.21379,7.56398,31.18305,21.62495,17.02833,11.6406,16.32588,16.1533756219,16.2244836284,17.5424639342,19.9180121425,20.4079361041,20.221042235,19.6405731726,17.2004938301,17.97273,18.20692,7.047871737,19,26,27,NA,NA
