,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bolivia,NA,NA,NA,NA,NA,NA,6.80521,11.21486,8.88867,9.50957,5.92494,6.36189,6.13672,6.28091,6.720082252,7.900269092,8.02847,9.45561,9.79806,9.4089124932,8.5276361858,9.204792715,9.3207109863,9.9171951781,10.9455293046,9.4221725041,10.5498244493,10.7160439728,11.1091995893,10.4622032493,10,10,10,NA,NA
Bosnia and Herzegovina,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,0.1629509151,0.0635616438,0.0635616438,0.8234829425,1,0.8,0.8,NA,NA
Botswana,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Brazil,NA,NA,NA,NA,NA,NA,122.01847,113.50234,132.50361,106.98784,137.47104,130.80709,136.59119,140.79291,137.97986,130.57538,126.0094,126.44996,129.27935,134.784736082,133.720331913,169.947199614,175.744865774,184.7057057,192.888620679,204.914551518,179.722349945,186.193456175,179.012984257,192.211570478,194,193,207,NA,NA
Brunei,NA,NA,NA,NA,NA,NA,0.40645,0.24986,0.31005,0.28066,0.32817,0.34629,0.31982,0.43843,0.47032,0.53089,0.75042,0.57572,0.53214,0.5280684658,0.5565315082,0.5862702356,1.1906565315,1.1919960822,0.8821126776,1.1373656219,0.4396195562,0.45148,0.45148,0.4691455068,0.4,0.5,0.5,NA,NA
Bulgaria,NA,NA,NA,NA,NA,NA,3.07,3.26627,3.11398,3.255,2.80495,1.45943,3.6045,2.72903,2.67086,2.9137,4.5291,2.84012,2.54335,3.5665274192,3.2662164098,3.9851913808,3.2485043671,2.8550212822,3.4312431749,3.4578383726,4.2402025699,4.3221917811,5.1167123291,5.1116067945,4,3.9,4,NA,NA
Burkina Faso,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Burma (Myanmar),NA,NA,NA,NA,NA,NA,0.19461,0.14929,0.10617,0.3187,0.42779,0.49841,0.60109,0.42041,0.35772,0.33233,0.26828,0.46608,0.5604,0.4622964164,0.4922029727,0.4903579288,0.4955756219,0.366028263,0.3965926393,0.4627452219,0.4967478959,0.561949863,0.5000890411,0.4925999616,0.7,0.3,0.5,NA,NA
Burundi,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Cambodia,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
